ABCI,POINT,A_RYB,A_BYT,A_OYP,B_POT,B_MYB,B_BOG,C_RB,C_OP,C_PG
-0.46,0.615,#FCA909,#FFB300,#FFA413,#FCC01B,#FCE343,#FCD01A,#F9541D,#FCB71A,#F382FC
-0.45,0.6125,#FBAC0B,#FFB900,#FFAA18,#FBC121,#FBE348,#FBD120,#F85823,#FBB820,#F286FB
-0.44,0.61,#FAAF0D,#FFBF01,#FFAF1C,#FAC228,#FAE34D,#FAD227,#F85D29,#FABA27,#F289FA
-0.43,0.6075,#F9B20F,#FFC601,#FFB521,#F9C32E,#F9E352,#F9D22D,#F76130,#F9BB2D,#F18CF9
-0.42,0.605,#F9B512,#FFCC01,#FFBB25,#F9C435,#F9E357,#F9D334,#F66636,#F9BC34,#F18FF9
-0.41,0.6025,#F8B814,#FFD301,#FFC12A,#F8C53B,#F8E35D,#F8D33A,#F66B3D,#F8BE3A,#F092F8
-0.4,0.6,#F7BB16,#FFD901,#FFC72E,#F7C642,#F7E362,#F7D441,#F56F43,#F7BF41,#F095F7
-0.39,0.5975,#F8BF18,#FFDC01,#FFCA2E,#F6C848,#F6E367,#F6D547,#F47449,#F6C147,#EF98F6
-0.38,0.595,#F9C31B,#FFDF01,#FFCD2E,#F5C94E,#F5E36C,#F5D54E,#F37950,#F5C24E,#EF9BF5
-0.37,0.5925,#F9C71D,#FFE101,#FFCF2E,#F5CA55,#F5E371,#F5D654,#F37D56,#F5C454,#EE9EF5
-0.36,0.59,#FACB20,#FFE401,#FFD22E,#F4CB5B,#F4E376,#F4D65B,#F2825D,#F4C55B,#EEA2F4
-0.35,0.5875,#FBCF22,#FFE701,#FFD52E,#F3CC62,#F3E37C,#F3D761,#F18663,#F3C661,#EDA5F3
-0.34,0.585,#FCD324,#FFEA01,#FFD82E,#F2CD68,#F2E381,#F2D868,#F18B69,#F2C868,#EDA8F2
-0.33,0.5825,#FDD727,#FFED01,#FFDB2E,#F1CE6F,#F1E386,#F1D86E,#F09070,#F1C96E,#ECABF1
-0.32,0.58,#FDDB29,#FFEF01,#FFDD2E,#F1D075,#F1E38B,#F1D975,#EF9476,#F1CB75,#ECAEF1
-0.31,0.5775,#FEDF2C,#FFF201,#FFE02E,#F0D17C,#F0E390,#F0D97B,#EE997D,#F0CC7B,#EBB1F0
-0.3,0.575,#FFE32E,#FFF501,#FFE32E,#EFD282,#EFE395,#EFDA82,#EE9E83,#EFCE82,#EBB4EF
-0.29,0.5725,#FDE33A,#FDF410,#FDE33A,#EED389,#EEE39B,#EEDB88,#EDA289,#EECF88,#EAB7EE
-0.28,0.57,#FBE346,#FBF31F,#FBE346,#EDD48F,#EDE3A0,#EDDB8F,#ECA790,#EDD08F,#EABBED
-0.27,0.5675,#F9E352,#F9F12E,#F9E352,#EDD596,#EDE3A5,#EDDC95,#ECAB96,#EDD295,#E9BEED
-0.26,0.565,#F8E35E,#F8F03D,#F8E35E,#ECD69C,#ECE3AA,#ECDC9C,#EBB09D,#ECD39C,#E9C1EC
-0.25,0.5625,#F6E36A,#F6EF4C,#F6E36A,#EBD8A2,#EBE3AF,#EBDDA2,#EAB5A3,#EBD5A2,#E8C4EB
-0.24,0.56,#F4E376,#F4EE5B,#F4E376,#EAD9A9,#EAE3B4,#EADEA9,#E9B9A9,#EAD6A9,#E8C7EA
-0.23,0.5575,#F2E382,#F2ED6A,#F2E382,#E9DAAF,#E9E3BA,#E9DEAF,#E9BEB0,#E9D8AF,#E7CAE9
-0.22,0.555,#F0E38F,#F0EB7A,#F0E38F,#E9DBB6,#E9E3BF,#E9DFB6,#E8C3B6,#E9D9B6,#E7CDE9
